Deadline Date,Module,Description,Assigned Dev,Hours,Status,,,,,
,Back-end Provider Class(es),C# Interface(s) and class(es) to provide database communication for user edits of Trade Accounts.,Jared,1,Complete,,,,,
,Back-end Model(s),C# Model(s) needed for creation and retrieval of Trade Accounts.,Jared,0.25,Complete,,,,,
,Back-end Model(s),C# Model(s) needed for Logs.,Jared,0.25,Complete,,,,,
,Hot Fix,Modifed the way strategies are stored in the DB.,Jared,2,Complete,,,,,
,Debugging,Debugging Spencer's environment,"Jared, Spencer",1,Complete,,,,,
,Alpaca,"Get the Alpaca SDK interfacing with .NET (Controllers, multithreading, interfaces, setting up trade logic, event firing. Major backend work only.)",Stefan,20,Complete,,,,,
,Alpaca,Register users for paper trading accounts though Alpaca SDK,Stefan,5,complete,,,,,
,Alpaca,Complete a simple trade through a user's paper trading account with alpaca,"Bryce, Zach","5, 20",complete,,,,,
,Alpaca,Debugging and general tinkering,"Bryce, Zach","10,15",complete,,,,,
,,,,,,,,,,
03-10-2021,Status Update,Team Status Update #2,,,,,,,,
,Markdown Document,Recap of what was planned for the last 3 weeks.,"Stefan, Jared",0.5,Complete,Status 2 Metrics,,,,
,Markdown Document,Recap of what was done for the last 3 weeks and by whom. Description of tasks completed.  Hours spent.,"Stefan, Jared",0.5,Complete,Bryce:,Spencer:,Stefan:,Jared:,Zach:
,Markdown Document,Sucesses. What are your accomplishments? What solutions were successful? Were there other things that you tried that did not work and why?,"Stefan, Jared",0.1,Complete,15,2.2,27.9,64.4,36.2
,Markdown Document,Roadblocks/Challenges. Describe the challenges. Describe how you overcame them. What challenges are still left? What do you need help with? How can your mentor help? ,"Stefan, Jared",0.1,Complete,,,,,
,Markdown Document,Changes/Deviation from plan (if applicable),"Stefan, Jared",0.1,Complete,,,,,
,Markdown Document,Details description of goals/plan for next 3 weeks (in final summary discuss where your project could go from here),"Stefan, Jared",0.1,Complete,,,,,
,Markdown Document,Confidence on completion from each team member + team averageScale of 1-5; 1 = unconfident;  3 = toss-up; 5 = confident,All,0.1,Complete,,,,,
,Status Summary Video,"Include requirements outlined in the status document, but as an overview summary to highlight the most important / interesting parts of your project. ​As an example, but notlimited to, it could highlight an interesting challenge you overcame, or it could include several successes that you are proud of. Describe what you did and potentially take usthrough how you did it. Other students in the course can learn from your experiences that might help them in their own projects or might help them in the future.","Stefan, Jared",0.1,Complete,,,,,
,Status Summary Video,Video status updates should be less than 10min.,All,0.1,Complete,,,,,
,Submission,Written document submitted to Git named status/status2.md,"Stefan, Jared",0.1,Complete,,,,,
,Submission,"Video should be uploaded to a video hosting site (e.g., YouTube, Vimeo, unlisted is fineas long as it's accessible)",All,1,Complete,,,,,
,Submission,Video must be linked to both the written status update (status document) AND on wyocourses.There will be designated discussion boards for each of the status updates where you will “submit” your video by posting it in the discussion thread for your team.,"Stefan, Jared",0.1,Complete,,,,,
,,,,,,,,,,
04-06-2021,Milestone 4,Alpaca API,,,,,,,,
,Alpaca,"Get the Alpaca SDK interfacing with .NET (Controllers, multithreading, interfaces, setting up trade logic, event firing. Major backend work only.)","Jared, Stefan",7.5,Complete,,,,,
,Polygon,"Get polygon working to get market data (Yeah forget polygon, Alpaca will give better options for free)",Jared,1.5,Complete,,,,,
,Alpaca,"Structure the way trading will occur through different strategies and make a sample strategy that demonstrates getting maket data, buying a stock, and selling a stock.",Jared,9,Complete,,,,,
,Database,Insert trade infomation into the databse after trades (can providers be injected into the Tradding.cs file?),"Stefan, Jared","4, 1",Complete,,,,,
,Strategy Indication,Write a robust funciton that will return data for a stocks RSI given time frame and indicator variables,Jared,3.5,Complete,,,,,
,Strategy Indication,Write a robust funciton that will return data for a stocks MACD given time frame and indicator variables,Jared,1.5,Complete,,,,,
,Strategy Indication,Write a robust funciton that will return data for a stocks EMA given time frame and indicator variables,"Zach, Jared","5, 1.5",Complete,,,,,
,Strategy Indication,Write a robust funciton that will return data for a stocks volume given time frame and indicator variables,Jared,0.5,Complete,,,,,
,Strategy Indication,Write a robust funciton that will return data for a stocks SMA given time frame and indicator variables,Jared,1,Complete,,,,,
,,,,,,,,,,
04-06-2021,Status Update,Team Status Update #3,,,,,,,,
,Markdown Document,Recap of what was planned for the last 3 weeks.,"Jared, Stefan",0.05,Complete,Status 3 Metrics,,,,
,Markdown Document,Recap of what was done for the last 3 weeks and by whom. Description of tasks completed.  Hours spent.,"Jared, Stefan",0.05,Complete,Bryce:,Spencer:,Stefan:,Jared:,Zach:
,Markdown Document,Sucesses. What are your accomplishments? What solutions were successful? Were there other things that you tried that did not work and why?,"Jared, Stefan",0.05,Complete,0 (life kicking my ass),,9.6 (Sorry lads),27.5,
,Markdown Document,Roadblocks/Challenges. Describe the challenges. Describe how you overcame them. What challenges are still left? What do you need help with? How can your mentor help? ,Stefan,0.05,Complete,,,,,
,Markdown Document,Changes/Deviation from plan (if applicable),Stefan,0.05,Complete,,,,,
,Markdown Document,Details description of goals/plan for next 3 weeks (in final summary discuss where your project could go from here),Jared,0.05,Complete,,,,,
,Markdown Document,Confidence on completion from each team member + team averageScale of 1-5; 1 = unconfident;  3 = toss-up; 5 = confident,"Jared, Stefan",0.05,Complete,,,,,
,Status Summary Video,"Include requirements outlined in the status document, but as an overview summary to highlight the most important / interesting parts of your project. ​As an example, but notlimited to, it could highlight an interesting challenge you overcame, or it could include several successes that you are proud of. Describe what you did and potentially take usthrough how you did it. Other students in the course can learn from your experiences that might help them in their own projects or might help them in the future.","Jared, Stefan",0.05,Complete,,,,,
,Status Summary Video,Video status updates should be less than 10min.,"Jared, Stefan",0.05,Complete,,,,,
,Submission,Written document submitted to Git named status/status3.md,"Jared, Stefan",0.05,Complete,,,,,
,Submission,"Video should be uploaded to a video hosting site (e.g., YouTube, Vimeo, unlisted is fineas long as it's accessible)","Jared, Stefan",0.05,Complete,,,,,
,Submission,Video must be linked to both the written status update (status document) AND on wyocourses.There will be designated discussion boards for each of the status updates where you will “submit” your video by posting it in the discussion thread for your team.,"Jared, Stefan",0.05,Complete,,,,,
,,,,,,,,,,
04-21-2021,Milestone 5,More Alpaca API,,,,,,,,
,Database,Update the user Trade account values an portfolio values based on per trade basis.,,,Incomplete,,,,,
,Strategy (Priority Strategy),Day buy strategy,,,Incomplete,,,,,
,Strategy (Priority Strategy),Day sell strategy,,,Incomplete,,,,,
,Strategy (Priority Strategy),Scalp buy strategy,,,Incomplete,,,,,
,Strategy (Priority Strategy),Scalp sell strategy,,,Incomplete,,,,,
,Strategy ,Swing buy strategy,,,Incomplete,,,,,
,Strategy ,Swing sell strategy,,,Incomplete,,,,,
,Strategy (Priority Strategy),Blue Chip buy strategy (Blue Chip strategy should have to be paired with another strategy because it only detrmines the stocks to be traded),,,Incomplete,,,,,
,Strategy (Priority Strategy),Blue Chip sell strategy (Blue Chip strategy should have to be paired with another strategy because it only detrmines the stocks to be traded),,,Incomplete,,,,,
,Strategy,Long Term buy strategy,,,Incomplete,,,,,
,Strategy,Long Term sell strategy,,,Incomplete,,,,,
,Front-end ,Encorportate charting of portfolios and trade accounts using data from log table. (chart.js?),,,Incomplete,,,,,
,Unit Testing,Unit test and document the bounds of user login system.,,,Incomplete,,,,,
,Unit Testing,Unit test and document the bounds of user registration system.,,,Incomplete,,,,,
,Unit Testing,Unit test and document the bounds of the Portfolio screen,,,Incomplete,,,,,
,Unit Testing,Unit test and document the bounds of the trade account screen,,,Incomplete,,,,,
,Unit Testing,Unit test and document the bounds of the trade account creation,,,Incomplete,,,,,
,Unit Testing,Unit test and document the bounds of the trade account updates,,,Incomplete,,,,,
,Unit Testing,"Unit test and document the bounds of the ""money"" transfer between portfolio -> account and account -> portfolio",,,Incomplete,,,,,
,Front-end Component(s),Add Personal Bio to home screen.,Spencer,,Incomplete,,,,,
,Unit Testing,Unit test and document the bounds of the Trade Account system.,,,Incomplete,,,,,
,,,,,,,,,,
04-21-2021,Status Update,Team Status Update #4,,,,,,,,
,Markdown Document,Recap of what was planned for the last 3 weeks.,,n/a,Incomplete,,,,,
,Markdown Document,Recap of what was done for the last 3 weeks and by whom. Description of tasks completed.  Hours spent.,,n/a,Incomplete,,,,,
,Markdown Document,Sucesses. What are your accomplishments? What solutions were successful? Were there other things that you tried that did not work and why?,,n/a,Incomplete,,,,,
,Markdown Document,Roadblocks/Challenges. Describe the challenges. Describe how you overcame them. What challenges are still left? What do you need help with? How can your mentor help? ,,n/a,Incomplete,,,,,
,Markdown Document,Changes/Deviation from plan (if applicable),,n/a,Incomplete,,,,,
,Markdown Document,Details description of goals/plan for next 3 weeks (in final summary discuss where your project could go from here),,n/a,Incomplete,,,,,
,Markdown Document,Confidence on completion from each team member + team averageScale of 1-5; 1 = unconfident;  3 = toss-up; 5 = confident,,n/a,Incomplete,,,,,
,Status Summary Video,"Include requirements outlined in the status document, but as an overview summary to highlight the most important / interesting parts of your project. ​As an example, but notlimited to, it could highlight an interesting challenge you overcame, or it could include several successes that you are proud of. Describe what you did and potentially take usthrough how you did it. Other students in the course can learn from your experiences that might help them in their own projects or might help them in the future.",,n/a,Incomplete,,,,,
,Status Summary Video,Video status updates should be less than 10min.,,n/a,Incomplete,,,,,
,Submission,Written document submitted to Git named status/status4.md,n/a,n/a,Incomplete,,,,,
,Submission,"Video should be uploaded to a video hosting site (e.g., YouTube, Vimeo, unlisted is fineas long as it's accessible)",n/a,n/a,Incomplete,,,,,
,Submission,Video must be linked to both the written status update (status document) AND on wyocourses.There will be designated discussion boards for each of the status updates where you will “submit” your video by posting it in the discussion thread for your team.,n/a,n/a,Incomplete,,,,,
,,,,,,,,,,
0?-??-2021,Milestone 5 ,Analytics,,,,,,,,
,,,,,,,,,,
05-??-2021,Milestone 6,Cleanup and Additional Features,,,,,,,,
,,,,,,,,,,
05-??-2021,Milestone 7,Final Launch,,,,,,,,
,,,,,,,,,,
05-??-2021,Final,Notebook,,,,,,,,
,Markdown Document,A synopsis of your project goal(s),,n/a,Incomplete,,,,,
,Markdown Document,All written status updates,,n/a,Incomplete,,,,,
,Markdown Document,Links to all videos created,,n/a,Incomplete,,,,,
,Markdown Document,"Project Planning Documents: Design Requirements & Specification, Finalized Plan of Work (expected vs actual)",,n/a,Incomplete,,,,,
,Markdown Document,"Summary of Final Implementation: Design, Limitations, Future Direction, Statement of Work",Bryce,n/a,Incomplete,,,,,
,Markdown Document,"Summary of Final Implementation: Design, Limitations, Future Direction, Statement of Work",Spencer,n/a,Incomplete,,,,,
,Markdown Document,"Summary of Final Implementation: Design, Limitations, Future Direction, Statement of Work",Stefan,n/a,Incomplete,,,,,
,Markdown Document,"Summary of Final Implementation: Design, Limitations, Future Direction, Statement of Work",Jared,n/a,Incomplete,,,,,
,Markdown Document,"Summary of Final Implementation: Design, Limitations, Future Direction, Statement of Work",Zack,n/a,Incomplete,,,,,
,Markdown Document,"Reflection on your team's ability to design, implement, and evaluate a solution: Lessons Learned, ""If you had to do it all over again"", Advice for future teams ",,n/a,Incomplete,,,,,
,Submission,Written document submitted to Git named notebook/notebook.md,n/a,n/a,Incomplete,,,,,
